Logging to ./ppo_tensorboard/PPO_3
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -53.8        |
| time/                   |              |
|    fps                  | 142          |
|    iterations           | 4            |
|    time_elapsed         | 115          |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0024263354 |
|    clip_fraction        | 0.115        |
|    clip_range           | 0.1          |
|    entropy_loss         | -4.29        |
|    explained_variance   | 0.281        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.157        |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00364     |
|    std                  | 1.01         |
|    value_loss           | 0.483        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -51.5        |
| time/                   |              |
|    fps                  | 139          |
|    iterations           | 8            |
|    time_elapsed         | 235          |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0029231263 |
|    clip_fraction        | 0.139        |
|    clip_range           | 0.1          |
|    entropy_loss         | -4.31        |
|    explained_variance   | 0.616        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0258       |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00593     |
|    std                  | 1.02         |
|    value_loss           | 0.34         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -48          |
| time/                   |              |
|    fps                  | 137          |
|    iterations           | 12           |
|    time_elapsed         | 357          |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0045317328 |
|    clip_fraction        | 0.209        |
|    clip_range           | 0.1          |
|    entropy_loss         | -4.31        |
|    explained_variance   | 0.529        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.017       |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.0103      |
|    std                  | 1.02         |
|    value_loss           | 0.277        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -44.9       |
| time/                   |             |
|    fps                  | 136         |
|    iterations           | 16          |
|    time_elapsed         | 479         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.005722521 |
|    clip_fraction        | 0.215       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.34       |
|    explained_variance   | 0.28        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0442     |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0145     |
|    std                  | 1.03        |
|    value_loss           | 0.276       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -42.8        |
| time/                   |              |
|    fps                  | 136          |
|    iterations           | 20           |
|    time_elapsed         | 601          |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0061082835 |
|    clip_fraction        | 0.246        |
|    clip_range           | 0.1          |
|    entropy_loss         | -4.31        |
|    explained_variance   | 0.746        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0132       |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.0138      |
|    std                  | 1.02         |
|    value_loss           | 0.231        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
